Store,Date,Weekly_Sales_in_Million
4,2010-02-05,2.14
4,2010-02-12,2.19
4,2010-02-19,2.05
4,2010-02-26,1.93
4,2010-03-05,1.97
4,2010-03-12,1.89
4,2010-03-19,1.9
4,2010-03-26,1.76
4,2010-04-02,1.98
4,2010-04-09,1.82
4,2010-04-16,1.85
4,2010-04-23,1.8
4,2010-04-30,1.82
4,2010-05-07,2.0
4,2010-05-14,1.88
4,2010-05-21,1.9
4,2010-05-28,1.86
4,2010-06-04,1.9
4,2010-06-11,1.87
4,2010-06-18,1.93
4,2010-06-25,1.85
4,2010-07-02,1.88
4,2010-07-09,1.81
4,2010-07-16,1.9
4,2010-07-23,1.85
4,2010-07-30,1.8
4,2010-08-06,1.91
4,2010-08-13,2.01
4,2010-08-20,2.0
4,2010-08-27,1.85
4,2010-09-03,1.94
4,2010-09-10,1.87
4,2010-09-17,1.9
4,2010-09-24,1.81
4,2010-10-01,1.84
4,2010-10-08,1.95
4,2010-10-15,1.87
4,2010-10-22,1.93
4,2010-10-29,1.93
4,2010-11-05,2.01
4,2010-11-12,2.0
4,2010-11-19,2.1
4,2010-11-26,2.79
4,2010-12-03,2.1
4,2010-12-10,2.3
4,2010-12-17,2.74
4,2010-12-24,3.53
4,2010-12-31,1.79
4,2011-01-07,1.86
4,2011-01-14,1.87
4,2011-01-21,1.89
4,2011-01-28,1.81
4,2011-02-04,2.12
4,2011-02-11,2.19
4,2011-02-18,2.32
4,2011-02-25,2.08
4,2011-03-04,2.1
4,2011-03-11,2.04
4,2011-03-18,2.12
4,2011-03-25,1.94
4,2011-04-01,1.9
4,2011-04-08,2.07
4,2011-04-15,1.96
4,2011-04-22,2.22
4,2011-04-29,1.88
4,2011-05-06,2.06
4,2011-05-13,2.0
4,2011-05-20,2.02
4,2011-05-27,1.99
4,2011-06-03,2.07
4,2011-06-10,2.07
4,2011-06-17,2.14
4,2011-06-24,2.01
4,2011-07-01,2.05
4,2011-07-08,2.07
4,2011-07-15,2.05
4,2011-07-22,2.04
4,2011-07-29,1.99
4,2011-08-05,2.16
4,2011-08-12,2.11
4,2011-08-19,2.23
4,2011-08-26,1.99
4,2011-09-02,2.08
4,2011-09-09,2.09
4,2011-09-16,2.08
4,2011-09-23,2.03
4,2011-09-30,1.93
4,2011-10-07,2.17
4,2011-10-14,2.07
4,2011-10-21,2.21
4,2011-10-28,2.15
4,2011-11-04,2.28
4,2011-11-11,2.2
4,2011-11-18,2.24
4,2011-11-25,3.0
4,2011-12-02,2.18
4,2011-12-09,2.51
4,2011-12-16,2.77
4,2011-12-23,3.68
4,2011-12-30,2.01
4,2012-01-06,2.05
4,2012-01-13,1.94
4,2012-01-20,2.01
4,2012-01-27,1.93
4,2012-02-03,2.17
4,2012-02-10,2.37
4,2012-02-17,2.43
4,2012-02-24,2.23
4,2012-03-02,2.21
4,2012-03-09,2.2
4,2012-03-16,2.21
4,2012-03-23,2.09
4,2012-03-30,2.09
4,2012-04-06,2.47
4,2012-04-13,2.11
4,2012-04-20,2.14
4,2012-04-27,2.06
4,2012-05-04,2.2
4,2012-05-11,2.13
4,2012-05-18,2.21
4,2012-05-25,2.15
4,2012-06-01,2.18
4,2012-06-08,2.25
4,2012-06-15,2.23
4,2012-06-22,2.2
4,2012-06-29,2.13
4,2012-07-06,2.22
4,2012-07-13,2.1
4,2012-07-20,2.18
4,2012-07-27,2.05
4,2012-08-03,2.17
4,2012-08-10,2.19
4,2012-08-17,2.28
4,2012-08-24,2.13
4,2012-08-31,2.08
4,2012-09-07,2.13
4,2012-09-14,2.12
4,2012-09-21,2.12
4,2012-09-28,2.03
4,2012-10-05,2.21
4,2012-10-12,2.13
4,2012-10-19,2.1
4,2012-10-26,2.15
14,2010-02-05,2.62
14,2010-02-12,1.7
14,2010-02-19,2.2
14,2010-02-26,2.1
14,2010-03-05,2.24
14,2010-03-12,2.16
14,2010-03-19,2.07
14,2010-03-26,2.05
14,2010-04-02,2.5
14,2010-04-09,2.26
14,2010-04-16,2.12
14,2010-04-23,2.14
14,2010-04-30,2.08
14,2010-05-07,2.37
14,2010-05-14,2.13
14,2010-05-21,2.11
14,2010-05-28,2.23
14,2010-06-04,2.36
14,2010-06-11,2.25
14,2010-06-18,2.25
14,2010-06-25,2.25
14,2010-07-02,2.33
14,2010-07-09,2.24
14,2010-07-16,2.13
14,2010-07-23,2.04
14,2010-07-30,2.05
14,2010-08-06,2.22
14,2010-08-13,2.05
14,2010-08-20,2.06
14,2010-08-27,2.02
14,2010-09-03,2.18
14,2010-09-10,2.19
14,2010-09-17,1.95
14,2010-09-24,1.88
14,2010-10-01,1.86
14,2010-10-08,2.09
14,2010-10-15,1.93
14,2010-10-22,1.94
14,2010-10-29,1.98
14,2010-11-05,2.08
14,2010-11-12,2.09
14,2010-11-19,1.97
14,2010-11-26,2.92
14,2010-12-03,2.26
14,2010-12-10,2.6
14,2010-12-17,2.76
14,2010-12-24,3.82
14,2010-12-31,1.62
14,2011-01-07,1.86
14,2011-01-14,1.7
14,2011-01-21,1.74
14,2011-01-28,1.61
14,2011-02-04,2.0
14,2011-02-11,1.98
14,2011-02-18,2.02
14,2011-02-25,1.88
14,2011-03-04,2.04
14,2011-03-11,1.93
14,2011-03-18,1.93
14,2011-03-25,1.88
14,2011-04-01,1.87
14,2011-04-08,2.04
14,2011-04-15,1.97
14,2011-04-22,2.26
14,2011-04-29,1.93
14,2011-05-06,2.1
14,2011-05-13,2.0
14,2011-05-20,1.96
14,2011-05-27,2.08
14,2011-06-03,2.08
14,2011-06-10,2.13
14,2011-06-17,2.08
14,2011-06-24,2.07
14,2011-07-01,2.07
14,2011-07-08,2.06
14,2011-07-15,1.95
14,2011-07-22,1.88
14,2011-07-29,1.87
14,2011-08-05,2.07
14,2011-08-12,1.93
14,2011-08-19,1.9
14,2011-08-26,2.27
14,2011-09-02,1.75
14,2011-09-09,2.2
14,2011-09-16,1.86
14,2011-09-23,1.87
14,2011-09-30,1.81
14,2011-10-07,2.08
14,2011-10-14,1.89
14,2011-10-21,2.01
14,2011-10-28,2.06
14,2011-11-04,2.17
14,2011-11-11,2.08
14,2011-11-18,1.97
14,2011-11-25,2.69
14,2011-12-02,2.14
14,2011-12-09,2.47
14,2011-12-16,2.59
14,2011-12-23,3.37
14,2011-12-30,1.91
14,2012-01-06,1.86
14,2012-01-13,1.7
14,2012-01-20,1.79
14,2012-01-27,1.6
14,2012-02-03,1.88
14,2012-02-10,2.08
14,2012-02-17,2.02
14,2012-02-24,1.88
14,2012-03-02,1.93
14,2012-03-09,2.02
14,2012-03-16,1.94
14,2012-03-23,1.89
14,2012-03-30,1.91
14,2012-04-06,2.38
14,2012-04-13,1.91
14,2012-04-20,1.88
14,2012-04-27,1.78
14,2012-05-04,1.95
14,2012-05-11,1.99
14,2012-05-18,1.93
14,2012-05-25,2.03
14,2012-06-01,2.05
14,2012-06-08,2.1
14,2012-06-15,1.91
14,2012-06-22,1.66
14,2012-06-29,1.59
14,2012-07-06,1.86
14,2012-07-13,1.54
14,2012-07-20,1.55
14,2012-07-27,1.48
14,2012-08-03,1.66
14,2012-08-10,1.65
14,2012-08-17,1.66
14,2012-08-24,1.62
14,2012-08-31,1.61
14,2012-09-07,1.9
14,2012-09-14,1.55
14,2012-09-21,1.57
14,2012-09-28,1.52
14,2012-10-05,1.69
14,2012-10-12,1.64
14,2012-10-19,1.59
14,2012-10-26,1.7
20,2010-02-05,2.4
20,2010-02-12,2.11
20,2010-02-19,2.16
20,2010-02-26,1.9
20,2010-03-05,2.12
20,2010-03-12,2.01
20,2010-03-19,1.95
20,2010-03-26,1.89
20,2010-04-02,2.41
20,2010-04-09,2.01
20,2010-04-16,1.99
20,2010-04-23,1.88
20,2010-04-30,1.92
20,2010-05-07,2.14
20,2010-05-14,2.03
20,2010-05-21,1.89
20,2010-05-28,2.07
20,2010-06-04,2.2
20,2010-06-11,2.1
20,2010-06-18,2.09
20,2010-06-25,1.97
20,2010-07-02,2.14
20,2010-07-09,2.11
20,2010-07-16,2.03
20,2010-07-23,1.9
20,2010-07-30,1.96
20,2010-08-06,1.91
20,2010-08-13,2.07
20,2010-08-20,1.98
20,2010-08-27,1.95
20,2010-09-03,2.12
20,2010-09-10,2.01
20,2010-09-17,1.95
20,2010-09-24,1.79
20,2010-10-01,1.93
20,2010-10-08,2.06
20,2010-10-15,1.95
20,2010-10-22,1.89
20,2010-10-29,1.89
20,2010-11-05,2.18
20,2010-11-12,2.19
20,2010-11-19,2.11
20,2010-11-26,2.81
20,2010-12-03,2.42
20,2010-12-10,2.75
20,2010-12-17,2.82
20,2010-12-24,3.77
20,2010-12-31,1.8
20,2011-01-07,1.84
20,2011-01-14,1.88
20,2011-01-21,1.78
20,2011-01-28,1.76
20,2011-02-04,2.35
20,2011-02-11,2.21
20,2011-02-18,2.26
20,2011-02-25,1.94
20,2011-03-04,2.14
20,2011-03-11,1.99
20,2011-03-18,1.93
20,2011-03-25,1.82
20,2011-04-01,1.93
20,2011-04-08,2.03
20,2011-04-15,2.06
20,2011-04-22,2.31
20,2011-04-29,1.88
20,2011-05-06,2.09
20,2011-05-13,2.04
20,2011-05-20,1.95
20,2011-05-27,1.94
20,2011-06-03,2.18
20,2011-06-10,2.14
20,2011-06-17,2.07
20,2011-06-24,1.95
20,2011-07-01,2.05
20,2011-07-08,2.12
20,2011-07-15,2.04
20,2011-07-22,1.95
20,2011-07-29,1.86
20,2011-08-05,2.19
20,2011-08-12,2.05
20,2011-08-19,1.99
20,2011-08-26,1.93
20,2011-09-02,2.14
20,2011-09-09,2.05
20,2011-09-16,1.98
20,2011-09-23,1.89
20,2011-09-30,1.95
20,2011-10-07,2.14
20,2011-10-14,2.01
20,2011-10-21,2.1
20,2011-10-28,2.07
20,2011-11-04,2.28
20,2011-11-11,2.27
20,2011-11-18,2.17
20,2011-11-25,2.91
20,2011-12-02,2.3
20,2011-12-09,2.55
20,2011-12-16,2.76
20,2011-12-23,3.56
20,2011-12-30,2.04
20,2012-01-06,1.96
20,2012-01-13,1.91
20,2012-01-20,1.89
20,2012-01-27,1.76
20,2012-02-03,2.2
20,2012-02-10,2.46
20,2012-02-17,2.31
20,2012-02-24,2.05
20,2012-03-02,2.15
20,2012-03-09,2.14
20,2012-03-16,2.06
20,2012-03-23,1.99
20,2012-03-30,2.07
20,2012-04-06,2.57
20,2012-04-13,2.05
20,2012-04-20,1.88
20,2012-04-27,1.89
20,2012-05-04,2.16
20,2012-05-11,2.17
20,2012-05-18,2.04
20,2012-05-25,2.11
20,2012-06-01,2.14
20,2012-06-08,2.23
20,2012-06-15,2.17
20,2012-06-22,2.06
20,2012-06-29,2.06
20,2012-07-06,2.36
20,2012-07-13,2.13
20,2012-07-20,1.97
20,2012-07-27,1.91
20,2012-08-03,2.09
20,2012-08-10,2.14
20,2012-08-17,2.05
20,2012-08-24,2.01
20,2012-08-31,2.06
20,2012-09-07,2.08
20,2012-09-14,2.05
20,2012-09-21,2.03
20,2012-09-28,2.01
20,2012-10-05,2.25
20,2012-10-12,2.16
20,2012-10-19,2.0
20,2012-10-26,2.03